randid,Date,Energy,Irradiance
R23,,1000,
R23,7/19/2018 1:00,1000,
R23,7/19/2018 2:00,0,
R23,7/19/2018 3:00,0,
R23,7/19/2018 4:00,1000,
R23,7/19/2018 5:00,1000,
R23,7/19/2018 6:00,1000,
R23,7/19/2018 7:00,1032.712,28.6245
R23,7/19/2018 8:00,1217.521,136.8305
R23,7/19/2018 9:00,1889.859,347.5645
R23,7/19/2018 10:00,3073.485,565.9015
R23,7/19/2018 11:00,4662.416,754.6965
R23,7/19/2018 12:00,6518.864,896.4945
R23,7/19/2018 13:00,8469.309,984.371
R23,7/19/2018 14:00,10059.862,1018.6565
R23,7/19/2018 15:00,11122.754,339.1815
R23,7/19/2018 16:00,12884.505,828.638
R23,7/19/2018 17:00,14284.252,641.56
R23,7/19/2018 18:00,15193.739,409.846
R23,7/19/2018 19:00,15572.821,186.8195
R23,7/19/2018 20:00,15621.361,27.918
R23,7/19/2018 21:00,15621.361,
R23,7/19/2018 22:00,15621.361,
R23,7/19/2018 23:00,15621.361,
R23,7/20/2018 0:00,15621.361,
R23,7/20/2018 1:00,15621.361,
R23,7/20/2018 2:00,15621.361,
R23,7/20/2018 3:00,15621.361,
R23,7/20/2018 4:00,15621.361,
R23,7/20/2018 5:00,15621.361,
R23,7/20/2018 6:00,15621.361,0.851
R23,7/20/2018 7:00,15644.971,21.923
R23,7/20/2018 8:00,15838.044,132.751
R23,7/20/2018 9:00,16509.722,342.3685
R23,7/20/2018 10:00,17695.568,565.227
R23,7/20/2018 11:00,19294.634,760.9045
R23,7/20/2018 12:00,21159.454,893.7735
R23,7/20/2018 13:00,23174.567,983.2875
R23,7/20/2018 14:00,25186.16,992.5705
R23,7/20/2018 15:00,27086.231,940.8355
R23,7/20/2018 16:00,28756.152,809.515
R23,7/20/2018 17:00,30089.619,625.2115
R23,7/20/2018 18:00,30958.795,404.4365
R23,7/20/2018 19:00,31325.692,181.642
R23,7/20/2018 20:00,31372.398,26.7425
R23,7/20/2018 21:00,31372.398,
R23,7/20/2018 22:00,31372.398,
R23,7/20/2018 23:00,31372.398,
R23,7/21/2018 0:00,31372.398,
R23,7/21/2018 1:00,31372.398,
R23,7/21/2018 2:00,31372.398,
R23,7/21/2018 3:00,31372.398,
R23,7/21/2018 4:00,31372.398,
R23,7/21/2018 5:00,31372.398,
R23,7/21/2018 6:00,31372.398,
R23,7/21/2018 7:00,31372.398,
R23,7/21/2018 8:00,31372.398,
R23,7/21/2018 9:00,31372.398,
R23,7/21/2018 10:00,31372.398,
R23,7/21/2018 11:00,31372.398,
R23,7/21/2018 12:00,31372.398,
R23,7/21/2018 13:00,31372.398,
R23,7/21/2018 14:00,32093.535,959.8625
R23,7/21/2018 15:00,33243.98,686.901
R23,7/21/2018 16:00,34216.464,424.6675
R23,7/21/2018 17:00,35231.965,433.722
R23,7/21/2018 18:00,36105.46,402.067
R23,7/21/2018 19:00,36480.173,189.636
R23,7/21/2018 20:00,36525.233,26.6515
R23,7/21/2018 21:00,36525.233,
R23,7/21/2018 22:00,36525.233,
R23,7/21/2018 23:00,36525.233,
R23,7/22/2018 0:00,36525.233,
R23,7/22/2018 1:00,36525.233,
R23,7/22/2018 2:00,36525.233,
R23,7/22/2018 3:00,36525.233,
R23,7/22/2018 4:00,36525.233,
R23,7/22/2018 5:00,36525.233,
R23,7/22/2018 6:00,36525.233,0.462
R23,7/22/2018 7:00,36556.159,25.6385
R23,7/22/2018 8:00,36736.228,136.312
R23,7/22/2018 9:00,37432.559,354.9875
R23,7/22/2018 10:00,38655.996,576.6125
R23,7/22/2018 11:00,40290.717,778.273
R23,7/22/2018 12:00,42188.07,919.2805
R23,7/22/2018 13:00,44124.751,1011.4335
R23,7/22/2018 14:00,45953.689,1019.5315
R23,7/22/2018 15:00,47743.968,954.765
R23,7/22/2018 16:00,49449.726,844.994
R23,7/22/2018 17:00,50874.587,651.5165
R23,7/22/2018 18:00,51820.473,423.159
R23,7/22/2018 19:00,52211.771,190.139
R23,7/22/2018 20:00,52250.788,22.1765
R23,7/22/2018 21:00,52250.788,
R23,7/22/2018 22:00,52250.788,
R23,7/22/2018 23:00,52250.788,
R23,7/23/2018 0:00,52250.788,
R23,7/23/2018 1:00,52250.788,
R23,7/23/2018 2:00,52250.788,
R23,7/23/2018 3:00,52250.788,
R23,7/23/2018 4:00,52250.788,
R23,7/23/2018 5:00,52250.788,
R23,7/23/2018 6:00,52250.788,
R23,7/23/2018 7:00,52284.142,26.6265
R23,7/23/2018 8:00,52465.984,137.921
R23,7/23/2018 9:00,53149.83,357.206
R23,7/23/2018 10:00,54355.742,576.0425
R23,7/23/2018 11:00,55979.001,771.965
R23,7/23/2018 12:00,57867.165,914.157
R23,7/23/2018 13:00,59716.043,996.535
R23,7/23/2018 14:00,61460.067,1010.417
R23,7/23/2018 15:00,63166.588,950.657
R23,7/23/2018 16:00,64780.405,834.9425
R23,7/23/2018 17:00,66101.878,646.1935
R23,7/23/2018 18:00,66986.181,402.2615
R23,7/23/2018 19:00,67170.081,76.793
R23,7/23/2018 20:00,67215.677,26.837
R23,7/23/2018 21:00,67215.677,
R23,7/23/2018 22:00,67215.677,
R23,7/23/2018 23:00,67215.677,
R23,7/24/2018 0:00,67215.677,
R23,7/24/2018 1:00,67215.677,
R23,7/24/2018 2:00,67215.677,
R23,7/24/2018 3:00,67215.677,
R23,7/24/2018 4:00,67215.677,
R23,7/24/2018 5:00,67215.677,
R23,7/24/2018 6:00,67215.677,
R23,7/24/2018 7:00,67249.551,26.9985
R23,7/24/2018 8:00,67434.171,137.8875
R23,7/24/2018 9:00,68108.189,352.6585
R23,7/24/2018 10:00,69300.19,577.458
R23,7/24/2018 11:00,70888.003,769.953
R23,7/24/2018 12:00,72689.996,911.697
R23,7/24/2018 13:00,74400.733,996.058
R23,7/24/2018 14:00,76093.632,1007.7915
R23,7/24/2018 15:00,77609.543,950.217
R23,7/24/2018 16:00,78799.485,681.1595
R23,7/24/2018 17:00,80209.535,650.1985
R23,7/24/2018 18:00,81129.38,421.1725
R23,7/24/2018 19:00,81320.372,91.34
R23,7/24/2018 20:00,81358.361,24.4825
R23,7/24/2018 21:00,81358.361,
R23,7/24/2018 22:00,81358.361,
R23,7/24/2018 23:00,81358.361,
R23,7/25/2018 0:00,81358.361,
R23,7/25/2018 1:00,81358.361,
R23,7/25/2018 2:00,81358.361,
