date,randid,generated_kW,expected_kW,irrad_poa_Wm2,temp_amb_C,wind_speed_ms,temp_mod_C
2018-04-01 07:00:00,R15,0.475,0.527845,0.02775,16.57,4.2065,14.127
2018-04-01 08:00:00,R15,1332.547,1685.979445,87.9145,16.998,4.1065,15.861
2018-04-01 09:00:00,R15,6616.573,7343.981135,367.9035,20.168,4.5095,24.5745
2018-04-01 10:00:00,R15,8847.8,10429.876422,508.287,21.987,4.9785,30.774
2018-04-01 11:00:00,R15,11607.389,12981.228814,618.7945,23.417,4.641,35.8695
2018-04-01 12:00:00,R15,15860.138,20000.0,992.893,24.328,4.3235,44.864
2018-04-01 13:00:00,R15,15672.136,18737.585012,861.876,25.1885,5.181,44.3385
2018-04-01 14:00:00,R15,12300.354,13896.113765,652.321,25.221,5.258,39.473
2018-04-01 15:00:00,R15,10319.216,10940.297983,521.236,25.2605,4.9435,35.9905
2018-04-01 16:00:00,R15,9651.946,10966.700792,530.2725,23.3775,5.5085,32.5695
2018-04-01 17:00:00,R15,5576.815,6084.206216,300.2735,23.4415,6.682,27.9135
2018-04-01 18:00:00,R15,4133.469,4657.232708,232.354,22.4355,6.583,25.4855
2018-04-02 07:00:00,R15,23.616,9.077598,0.49,12.335,3.4245,8.619
2018-04-02 08:00:00,R15,1699.749,2402.486934,127.4585,13.9885,4.134,12.213
2018-04-02 09:00:00,R15,7053.98,7744.22231,393.17,17.092,7.7345,21.632
2018-04-02 10:00:00,R15,12390.425,13218.212135,651.7975,18.721,8.281,28.107
2018-04-02 11:00:00,R15,16417.531,20000.0,871.2585,20.5405,8.7555,33.9645
2018-04-02 12:00:00,R15,18990.255,20000.0,1023.317,21.341,9.866,36.4685
2018-04-02 13:00:00,R15,19391.928,20000.0,1083.043,22.0825,10.1565,37.8895
2018-04-02 14:00:00,R15,19146.944,20000.0,1070.172,22.5145,10.504,39.0545
2018-04-02 15:00:00,R15,16499.269,20000.0,890.369,22.802,9.917,36.2465
2018-04-02 16:00:00,R15,13450.468,15359.541416,737.882,22.8345,9.0805,34.0635
2018-04-02 17:00:00,R15,8366.933,8754.1566,429.73,21.554,10.2685,29.1255
2018-04-02 18:00:00,R15,4756.25,4924.245916,248.255,19.8555,7.418,23.1715
2018-04-03 07:00:00,R15,30.694,8.14069,0.43675,13.0435,5.646,9.8805
2018-04-03 08:00:00,R15,1540.29,2257.570757,118.986,14.5785,4.8535,13.5935
2018-04-03 09:00:00,R15,6427.601,6845.88868,346.807,17.4305,4.2425,22.1085
2018-04-03 10:00:00,R15,11128.071,12095.217549,585.5965,19.6515,1.9485,32.2725
2018-04-03 11:00:00,R15,14971.231,18092.467154,838.7475,20.8255,2.1235,42.4535
2018-04-03 12:00:00,R15,17205.824,20000.0,972.6555,21.8545,3.6285,47.303
2018-04-03 13:00:00,R15,18290.521,20000.0,1041.7175,22.664,3.349,51.273
2018-04-03 14:00:00,R15,18333.727,20000.0,1062.9865,23.362,2.449,54.0205
2018-04-03 15:00:00,R15,17452.605,20000.0,989.0535,24.0205,2.0245,53.036
2018-04-03 16:00:00,R15,15028.106,18319.662619,823.8805,24.7885,1.623,49.8425
2018-04-03 17:00:00,R15,11307.569,12965.66361,600.4105,24.9305,2.37,42.7185
2018-04-03 18:00:00,R15,6448.001,7007.504382,343.574,23.416,5.524,29.399
2018-04-04 07:00:00,R15,37.787,8.748006,0.475,11.587,1.179,7.4095
2018-04-04 08:00:00,R15,1235.014,1489.923615,79.447,12.2535,1.051,11.152
2018-04-04 09:00:00,R15,4245.746,3777.52071,196.1575,14.4895,0.87,16.751
2018-04-04 10:00:00,R15,7041.369,6468.304195,320.329,19.231,2.3975,27.141
2018-04-04 11:00:00,R15,14490.342,16881.221956,783.9365,21.2545,2.1215,42.0435
2018-04-04 12:00:00,R15,17734.125,20000.0,1012.183,23.3405,3.945,45.8455
2018-04-04 13:00:00,R15,19186.712,20000.0,1088.631,24.0415,6.14,43.075
