in,out_
inverter,inverter
recloser,recloser
transformer,transformer
switchgear,switchgear
combiner,combiner
substation,substation
facility,facility
energy meter,energy meter
relay,relay
met station,met station
tracker,tracker
module,module
DC Disconnect,combiner
Recombiner,combiner
Feeder (Dip Pole/Array),wiring
Ground-Mount PV System,module
Weather Station,met station
Pyranometer,met station
Temperature sensor,met station
Met station battery,met station
Anemometer,met station
Reference cell,met station
Relative humidity sensor,met station
Meter,energy meter
Energy Storage/Battery,energy storage
AC Combiner,combiner
Battery (Solar + storage facilities),energy storage
Block,transformer
Central Inverter,inverter
Circuit,wiring
Combiner Box,combiner
DAS System,facility
DC Combiner,combiner
Data logger,facility
Disconnect switch,relay
Inverter Module,inverter
Inverter module,inverter
Inverter/String Inverter,inverter
Modules,module
Other,other
PCS Transformer,transformer
POI/Medium Voltage,other
Pad,transformer
Plant,other
Point of Interconnection,other
Racking/Trackers,tracker
Rooftop PV System,other
Site,other
String,other
String Inverter,inverter
Subarray,other
Summary,other
Tracker control unit,tracker
Tracking System,tracker
