in,out_
comm,communication
energy,energy
kwh,energy
mwh,energy
grid,grid
curtailment,grid
curtail,grid
poi,grid
offline,outage
solar,solar
pv,solar
photovoltaic,solar
system,system
site,system
farm,system
project,system
sma,make_model
cm,corrective_maintence
pm,preventative_maintence
