in,out_
combiner,combiner
comb,combiner
cb,combiner
battery,battery
bess,battery
inverter,inverter
invert,inverter
inv,inverter
met,met
meter,meter
module,module
mod,module
recloser,recloser
reclose,recloser
relay,relay
substation,substation
switchgear,switchgear
switch,switchgear
tracker,tracker
transformer,transformer
xfmr,transformer
wiring,wiring
wire,wiring
wires,wiring
